id,manufacturer,model,owner
1,Suzuki,Cultus,Griff Bengtsen
2,GMC,Savana 1500,Bettye Rutgers
3,Acura,TL,Morlee Tremonte
4,Chevrolet,Equinox,Anne-marie Leyton
5,Bentley,Continental Super,Susanne Born
6,GMC,Sierra 2500,Charmion Lloyd
7,Chevrolet,Express 1500,Alma Clausner
8,Mitsubishi,Chariot,Maxim Sexon
9,Jaguar,XK,Betta Grutchfield
10,Lexus,SC,Lisette Iohananof
11,Mercury,Grand Marquis,Mattie Scarbarrow
12,Buick,Skylark,Maureen Orridge
13,Chevrolet,1500,Emilia Konzelmann
14,Chevrolet,Impala,Rozelle Siddell
15,MINI,Clubman,Mitchell Nicely
16,Daihatsu,Charade,Risa Root
17,Porsche,Boxster,Valida Gueinn
18,Chevrolet,Suburban 2500,Phylys Dinley
19,Oldsmobile,Silhouette,Halsey de Quesne
20,Ford,E-Series,Buiron Ferras
21,Mitsubishi,Lancer,Lenka Hutable
22,Chevrolet,Silverado 1500,Jacquelyn Dewicke
23,Chevrolet,S10 Blazer,Butch Galfour
24,Audi,A6,Rosana Crut
25,Ford,E-Series,Winfield Vido
26,Toyota,Celica,Minnnie Volcker
27,Honda,Prelude,Milicent Longmore
28,Ford,F250,Darby Devinn
29,Ford,F-Series,Brigid FitzGibbon
30,GMC,Jimmy,Ellerey Poulden
31,Mazda,929,Spence O'Sharkey
32,Toyota,Tacoma Xtra,Jamil Carley
33,Acura,TL,Arman Lydiate
34,Land Rover,Discovery,Eddy Scrivens
35,Honda,Civic,Fitz Lakey
36,Dodge,Ram Van 1500,Yetty Eyer
37,Toyota,Sienna,Davita Garner
38,Lexus,LX,Franz Dealey
39,Chrysler,Fifth Ave,Aldwin Costelow
40,Land Rover,LR3,Huey Cawthorne
41,GMC,Savana 2500,Pauly Jovasevic
42,Chevrolet,Corvette,Rickard Outibridge
43,Honda,S2000,Penny Behne
44,GMC,1500 Club Coupe,Julietta Baggaley
45,Hyundai,Sonata,Kenyon Burrel
46,GMC,Savana,Christina Bourhill
47,Volkswagen,Passat,Tana Munford
48,Nissan,Maxima,Porty Elsworth
49,Lincoln,MKX,Daffie Kornel
50,Maserati,Quattroporte,Jone Hollingby
51,Dodge,Durango,Tina D'Abbot-Doyle
52,BMW,745,Harland Legerton
53,GMC,1500,Donn Holehouse
54,BMW,7 Series,Tito Twiggs
55,Mercury,Mountaineer,Erie Goodsir
56,Volvo,V70,Garret Creegan
57,Honda,Accord,Iain Pye
58,Hyundai,Excel,Orelie Stripp
59,Mercedes-Benz,SLK-Class,Felike Sirl
60,Chevrolet,Venture,Rand Dumbar
61,Ford,Fiesta,Harri Vida
62,Mercury,Capri,Barbey Carling
63,Dodge,Charger,Lutero Pell
64,Pontiac,Montana SV6,Kevon Tungay
65,Chevrolet,Tahoe,Caleb Earry
66,Mercedes-Benz,G-Class,Elaine Sherrell
67,Lincoln,Continental,Ruthann Aylesbury
68,Mazda,Millenia,Bethena Kimm
69,Suzuki,XL-7,Blanche Busch
70,Infiniti,M,Abner Fromont
71,Hyundai,Tucson,Rivi Andrusov
72,Audi,Quattro,Gregor Orteaux
73,Dodge,Stratus,Marilyn Souley
74,Oldsmobile,Bravada,Margaretta Folca
75,Ford,Ranger,Garrett Micah
76,BMW,M3,Leif Easthope
77,Chrysler,Voyager,Pyotr Mabbe
78,Nissan,350Z,Karleen Korn
79,Mazda,Mazda3,Kim Althorpe
80,Jaguar,X-Type,Buffy Ducker
81,Mercedes-Benz,S-Class,Odell Tremberth
82,Ford,E350,Davy Assad
83,Mitsubishi,Montero,Ruggiero Ide
84,Dodge,Ram 1500,Rora Van der Kruijs
85,Lamborghini,Murciélago,Juanita Lofthouse
86,Pontiac,Firebird,Lisa Cuchey
87,Lamborghini,Diablo,Kerr Davidovic
88,Volkswagen,GTI,Louisa Biddell
89,Toyota,4Runner,Curr Capstack
90,Dodge,Ram 1500 Club,Alis Marshall
91,Saab,900,Fairlie Keable
92,Volvo,V70,Vance MacKessock
93,Volvo,960,Wilhelmine Oguz
